City	Pilot	Thematic Clasters	Impact Areas	Start Date Q	End Date Q	Start Date	End Date	Duration (Months)	Description	Lessons Learned	KPIs	Link to Dashboard	UMI Categories	Sources	Tips for replication	Pictures	lat	lon	name	location
Gothenburg	Safe System Approach for Children’s Active Travel in Peri-Urban Areas (Pilot 1)	Safe & Sustainable Schools	Road Safety, Transformative Governance, Inclusivity/Accessibility	Q2 2023	Q4 2025	04/01/2023	31/12/2025	35	In the neighbourhood of Bergum Gunnilse key mobility challenges concern insufficient lighting and a lack of pedestrian and bicycle paths as a consequence, many prefer to move around by car. 	Coming soon	1, 2, 9		Modal Share			https://reallocatemobility.eu/fileadmin/user_upload/Images/Page_Headers/Goteborg-Dudlajzov-dreamstime-246987644_2.jpg	57,70887	11,97456	Gothenburg (pilot 1)	Bergum Gunnilse
Gothenburg	Harnessing Digitalization to Foster Safe and Sustainable Solutions in Transformative Urban Mobility (Pilot 2)	Data Safety Digital Integration	Transformative Governance	Q2 2023	Q4 2025	04/01/2023	31/12/2025	35	Gothenburg leverages its digitalisation capabilities and data resources to proactively improve sustainable transportation, traffic safety and enhance accessibility in a city undergoing major transformation.	Coming soon	1, 2, 9		Modal Share			https://reallocatemobility.eu/fileadmin/user_upload/Images/Page_Headers/Goteborg-Dudlajzov-dreamstime-246987644_2.jpg	57,72887	11,99456	Gothenburg (pilot 2)	Korsvägen junction
Heidelberg	Regional Commuter Plan for Climate Neutrality (Pilot 1)	Concepts for Space Reallocation	Environmental	Q2 2023	Q2 2025	04/01/2023	30/06/2025	29	The first SSML intervention in Heidelberg is about a regional commuter plan for climate neutrality. To measure the impacts, Heidelberg’s new traffic model, numerous traffic counting stations and parking observatory will aid the implementation.	Coming soon	1, 2, 10		Congestion, Modal Share			https://reallocatemobility.eu/fileadmin/user_upload/Images/Page_Headers/Heidelberg-Waleed-Kurdi-dreamstime-245755622_small.jpg	49,39875	8,672434	Heidelberg (pilot 1)	TBD
Heidelberg	Contextual & Tactical Public Space Reallocation (Pilot 2)	Concepts for Space Reallocation	Transformative Governance, Inclusivity/Accessibility	Q3 2023	Q3 2025	07/01/2023	30/09/2025	32	In Heidelberg, homezone streets often fall short of expected standards for safety and vibrancy. The initiative utilises tactical elements like parklets and green infrastructure, along with adaptive land use strategies, to enhance the public quality of streets across diverse urban contexts.	Coming soon	1, 2, 11		Modal Share, Access to Mobility Services, Space Reallocation			https://reallocatemobility.eu/fileadmin/user_upload/Images/Page_Headers/Heidelberg-Waleed-Kurdi-dreamstime-245755622_small.jpg	49,37875	8,652434	Heidelberg (pilot 2)	Four streets throughout the city 
Barcelona	Pedestrians, Cyclists & MMV in Shared Spaces (Pilot 1)	Concepts for Space Reallocation, Integrated Traffic Reorganization	Road Safety, Inclusivity/Accessibility	Q3 2023	Q3 2025	07/01/2023	30/09/2025	32	Barcelona’s first SSML studies factors affecting interactions between pedestrians, cyclists, and Micromobility Vehicles (MMV) in shared spaces like pedestrian priority streets or squares. It diagnoses conflicts and proposes solutions.	Coming soon	1, 2, 3, 5		Accidents & Injuries, Modal Share, Space Reallocation			https://reallocatemobility.eu/fileadmin/user_upload/Images/Page_Headers/Barcelona-Andrei-Stancu-dreamstime-61044707_small.jpg	41,3887750526896	2,18138428632556	Barcelona (pilot 1)	Carrer Consell de Cent, Open Streets, Parc de les Glòries
Barcelona	Increased and Integrated Public Transport Accessibility System for People with Disabilities (Pilot 2)	Integrated Traffic Reorganization, Concepts for Space Reallocation	Transformative Governance, Inclusivity/Accessibility	Q3 2023	Q3 2025	07/01/2023	30/09/2025	32	Barcelona has a public door to door service for people with reduced mobility operating with a fleet of buses and taxis, providing programmed and sporadic journeys. However, the existing fleet struggles to meet the high demand for the service.	Coming soon	1, 2, 4, 5		Modal Share, Access to Mobility Services			https://reallocatemobility.eu/fileadmin/user_upload/Images/Page_Headers/Barcelona-Andrei-Stancu-dreamstime-61044707_small.jpg	41,3687750526896	2,16138428632556	Barcelona (pilot 2)	City of Barcelona
Budapest	Improving Traffic Safety in Budapest's Peri-urban Areas (Pilot 1)	Central Areas Traffic Reorganization	Road Safety	Q4 2023	Q3 2025	10/01/2023	30/09/2025	32	In harmony with the upcoming Cycle Traffic Network Plan, the SSML will focus on traffic calming and modal shift that can be used in the periurban stress points of the city, to create safer and more controlled intersections.	Coming soon	1, 2, 7		Accidents & Injuries, Modal Share, Access to Mobility Services			https://reallocatemobility.eu/fileadmin/user_upload/Images/Page_Headers/arvydas-venckus-eYqmWlHsDQo-unsplash_small.jpg	47,497913	19,040236	Budapest (pilot 1)	District VIII
Budapest	Healthy Superblock (Pilot 2)	Concepts for Space Reallocation, Central Areas Traffic Reorganization, Integrated Traffic Reorganization	Road Safety, Environmental, Transformative Governance, Inclusivity/Accessibility	Q4 2023	Q3 2025	10/01/2023	30/09/2025	32	The second SSML in Budapest draws inspiration from London’s healthy streets and Barcelona’s super-blocks, emphasising traffic calming interventions with a preference for public transport and active mobility modes.	Coming soon	1, 2, 7		Modal Share			https://reallocatemobility.eu/fileadmin/user_upload/Images/Page_Headers/arvydas-venckus-eYqmWlHsDQo-unsplash_small.jpg	47,487913	19,060236	Budapest (pilot 2)	Peri-urban areas
Lyon	Public Space Redesigning and Enhancing Road Safety in the Schools’ Surroundings (Pilot 1)	Safe & Sustainable Schools, Concepts for Space Reallocation	Road Safety, Environmental, Transformative Governance, Inclusivity/Accessibility	Q2 2023	Q2 2025	04/01/2023	30/06/2025	29	This initiative integrates a comprehensive qualitative and quantitative assessment, encompassing speed measurements, pedestrian, cyclist, and e-scooter counts, with the development of mobility plans for schools and targeted college interventions.	Coming soon	1, 2, 12, 13, 14		GHG Emissions, Congestion, Accidents & Injuries, Modal Share, Air Pollution, Noise Pollution, Access to Mobility Services			https://reallocatemobility.eu/fileadmin/user_upload/Images/Page_Headers/Lyon-Barmalini-dreamstime-267827720_small.jpg	45,7646276142591	4,83238022968845	Lyon (pilot 1)	School areas
Lyon	Road Safety Tech & Non-Pollution Parking Policy (Pilot 2)	Integrated Traffic Reorganization, Central Areas Traffic Reorganization, Data Safety Digital Integration, Concepts for Space Reallocation	Road Safety, Transformative Governance	Q3 2023	Q3 2025	07/01/2023	30/09/2025	32	Lyon faces challenges such as road safety issues and pollution due to high motorised traffic levels. To address these, the city plans to manage traffic volumes, and discourage heavy vehicle usage through parking policies based on vehicle attributes.	Coming soon	1, 2, 12, 14		Congestion, Modal Share, Air Pollution, Noise Pollution			https://reallocatemobility.eu/fileadmin/user_upload/Images/Page_Headers/Lyon-Barmalini-dreamstime-267827720_small.jpg	45,7546276142591	4,81238022968845	Lyon (pilot 2)	TBD
Bologna	Neutral, Safe, and Sustainable School District along the Knowledge Path Interventions and Indicators	Concepts for Space Reallocation, Data Safety Digital Integration, Integrated Traffic Reorganization, Central Areas Traffic Reorganization	Road Safety, Environmental, Transformative Governance	Q4 2023	Q4 2025	10/01/2023	31/12/2025	35	The aim of Bologna’s SSML is to implement the public space of the school district in collaboration with the school, students and local stakeholders in order to make it neutral and comfortable to encourage a sustainable, safe and autonomous daily home-school mobility.	Coming soon	"
1, 2, 6"		Modal Share, Space Reallocation			https://reallocatemobility.eu/fileadmin/user_upload/Images/Page_Headers/Bologna-Madrugadaverde-dreamstime81338281_small.png	44,498955	11,327591	Bologna	Via Erbosa, Via Gobetti, Via Cristoforo da Bologna, via Manin - along the Via della Conoscenza, Quartiere Navile
Utrecht	Safety-proofing schools in vulnerable neighbourhoods	Safe & Sustainable Schools, Integrated Traffic Reorganization	Road Safety, Transformative Governance, Inclusivity/Accessibility	Q4 2023	Q4 2025	10/01/2023	31/12/2025	35	The SSML addresses community needs by improving traffic management, reducing pollution, and promoting sustainable transportation for enhanced safety and air quality. It focuses on fostering active mobility and safe transportation for residents.	Coming soon	1, 2, 15		Modal Share, Air Pollution, Noise Pollution, Accidents & Injuries			https://reallocatemobility.eu/fileadmin/user_upload/Images/Page_Headers/Utrecht-Jan-Sluimer-dreamstime-115325784_small.jpg	52,0919	5,123	Utrecht	TBD
Tampere	AI for Increased Road Safety, Space Reallocation & Parametric Design	Data Safety Digital Integration, Integrated Traffic Reorganization	Road Safety, Environmental	Q3 2023	Q3 2025	07/01/2023	30/09/2025	32	The SSML focuses on road safety enhancements through an algorithm for identifying near-miss situations and safety hazards like harsh braking and cornering. It also includes implementing traffic calming measures and promoting sustainable mobility.	Coming soon	1, 2, 8		Modal Share, Accidents & Injuries, Congestion			https://reallocatemobility.eu/fileadmin/user_upload/Images/Page_Headers/Tampere-Igor-Groshev-dreamstime-62346303_small.png	61,5007546302076	23,7478616548067	Tampere	TBD
