Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Renda_Bruta_€
2023,1,Ciutat Vella,1,el Raval,1,42658
2023,1,Ciutat Vella,1,el Raval,2,32672
2023,1,Ciutat Vella,1,el Raval,3,35938
2023,1,Ciutat Vella,1,el Raval,4,41877
2023,1,Ciutat Vella,1,el Raval,5,33004
2023,1,Ciutat Vella,1,el Raval,6,38981
2023,1,Ciutat Vella,1,el Raval,7,38052
2023,1,Ciutat Vella,1,el Raval,8,30205
2023,1,Ciutat Vella,1,el Raval,9,36196
2023,1,Ciutat Vella,1,el Raval,10,35587
2023,1,Ciutat Vella,1,el Raval,11,31983
2023,1,Ciutat Vella,1,el Raval,12,39533
2023,1,Ciutat Vella,1,el Raval,13,42749
2023,1,Ciutat Vella,1,el Raval,14,40319
2023,1,Ciutat Vella,1,el Raval,15,39525
2023,1,Ciutat Vella,1,el Raval,16,40824
2023,1,Ciutat Vella,1,el Raval,17,35270
2023,1,Ciutat Vella,1,el Raval,18,37667
2023,1,Ciutat Vella,1,el Raval,19,36568
2023,1,Ciutat Vella,1,el Raval,20,51269
2023,1,Ciutat Vella,1,el Raval,21,48574
2023,1,Ciutat Vella,2,el Barri Gòtic,22,64077
2023,1,Ciutat Vella,2,el Barri Gòtic,23,51440
2023,1,Ciutat Vella,2,el Barri Gòtic,25,46969
2023,1,Ciutat Vella,2,el Barri Gòtic,26,53131
2023,1,Ciutat Vella,2,el Barri Gòtic,27,45629
2023,1,Ciutat Vella,2,el Barri Gòtic,28,44706
2023,1,Ciutat Vella,2,el Barri Gòtic,29,43682
2023,1,Ciutat Vella,2,el Barri Gòtic,30,43585
2023,1,Ciutat Vella,2,el Barri Gòtic,31,40945
2023,1,Ciutat Vella,3,la Barceloneta,32,41427
2023,1,Ciutat Vella,3,la Barceloneta,33,36855
2023,1,Ciutat Vella,3,la Barceloneta,34,36820
2023,1,Ciutat Vella,3,la Barceloneta,35,36906
2023,1,Ciutat Vella,3,la Barceloneta,36,42877
2023,1,Ciutat Vella,3,la Barceloneta,37,43164
2023,1,Ciutat Vella,3,la Barceloneta,38,34200
2023,1,Ciutat Vella,3,la Barceloneta,39,44270
2023,1,Ciutat Vella,3,la Barceloneta,40,43095
2023,1,Ciutat Vella,3,la Barceloneta,41,36358
2023,1,Ciutat Vella,3,la Barceloneta,42,43491
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,58739
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,52421
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,43639
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,46075
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,41138
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,34699
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,53559
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,43808
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,39305
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,66010
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,36479
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,41399
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,56992
2023,2,L'Eixample,5,el Fort Pienc,1,58807
2023,2,L'Eixample,5,el Fort Pienc,2,60690
2023,2,L'Eixample,5,el Fort Pienc,3,67232
2023,2,L'Eixample,5,el Fort Pienc,4,59687
2023,2,L'Eixample,5,el Fort Pienc,5,67159
2023,2,L'Eixample,5,el Fort Pienc,6,70030
2023,2,L'Eixample,5,el Fort Pienc,7,74911
2023,2,L'Eixample,5,el Fort Pienc,8,72673
2023,2,L'Eixample,5,el Fort Pienc,9,68180
2023,2,L'Eixample,5,el Fort Pienc,10,66060
2023,2,L'Eixample,5,el Fort Pienc,11,64423
2023,2,L'Eixample,5,el Fort Pienc,12,53412
2023,2,L'Eixample,5,el Fort Pienc,13,52225
2023,2,L'Eixample,5,el Fort Pienc,14,52763
2023,2,L'Eixample,5,el Fort Pienc,15,54554
2023,2,L'Eixample,5,el Fort Pienc,16,67079
2023,2,L'Eixample,5,el Fort Pienc,17,73438
2023,2,L'Eixample,5,el Fort Pienc,18,69319
2023,2,L'Eixample,5,el Fort Pienc,19,62684
2023,2,L'Eixample,5,el Fort Pienc,20,57885
2023,2,L'Eixample,6,la Sagrada Família,21,54560
2023,2,L'Eixample,6,la Sagrada Família,22,62233
2023,2,L'Eixample,6,la Sagrada Família,23,58083
