category,count
restaurant,8146
bar,3186
specialty_store,2934
beauty_salon,2897
clothing_store,2581
grocery_store,2289
service_location,1796
social_or_community_service,1699
hotel,1628
place_of_learning,1558
business_advertising_marketing,1363
financial_service,1213
healthcare_location,1211
specialty_school,1133
event_or_party_service,1011
bakery,898
entertainment_location,872
real_estate_service,865
general_dentistry,850
coffee_shop,850
gym,848
electronics_store,843
retail_location,833
attorney_or_law_firm,833
travel_service,794
pharmacy,767
hair_salon,760
doctors_office,722
b2b_supplier_distributor,649
jewelry_store,636
fashion_or_apparel_store,632
historic_site,583
flower_shop,566
real_estate_agency,564
printing_service,557
cafe,543
park,536
b2b_service,528
christian_place_of_worship,520
auto_repair_service,511
sporting_goods_store,504
insurance_agency,478
shoe_store,478
psychology,478
art_gallery,472
dance_club,465
fast_food_restaurant,451
bookstore,447
pizzaria,441
civic_organization_office,431
art_craft_hobby_store,429
elementary_school,423
college_university,403
alternative_medicine,395
pub,393
parking,391
vehicle_service,391
casual_eatery,374
transportation_location,361
tattoo_or_piercing_salon,361
sport_fitness_facility,357
accommodation,351
home_service,340
fitness_studio,338
manufacturer,326
physical_therapy,325
architectural_design_service,320
home_improvement_center,306
car_dealer,305
hospital,294
print_media_service,294
media_service,287
technical_service,283
butcher_shop,283
photography_service,281
software_development,280
building_construction_service,279
hardware_store,272
barber_shop,268
veterinarian,268
interior_design_service,265
sport_recreation_club,257
music_venue,251
building_contractor_service,251
second-hand_shop,246
telecommunications_service,246
tour_operator,241
corporate_or_business_office,240
business_management_service,239
graphic_design_service,236
optician,233
property_management_service,233
public_plaza,232
personal_service,228
legal_service,228
spa,225
bank,217
government_office,211
shipping_delivery_service,202
train_station,202
threatre_venue,201
information_technology_service,194
motorcycle_dealer,185
mental_health,182
recreational_location,182
engineering_service,180
food_or_beverage_store,178
museum,177
religious_organization,177
eye_care,176
house_cleaning_service,174
breakfast_restaurant,173
martial_arts_club,171
gas_station,169
pet_store,169
resort,169
nail_salon,168
private_lodging,168
web_design_service,165
wholesaler,165
shipping_center,162
laundromat,161
toy_store,155
locksmith_service,152
liquor_store,148
massage_therapy,147
produce_store,143
gift_shop,143
convenience_store,142
sport_stadium,141
music_production_service,138
business_location,137
movie_theater,132
shopping_mall,124
candy_shop,121
library,121
beverage_shop,120
travel_agent,120
